# MACSJ0416 photometric redshifts
# M0416cl_A.cat IDs cross matched wth M0416cl_ZPHOT.cat
# ID RA[deg] DEC[deg] ZBEST ZBEST_SIG ZPHOTFLAG
129 64.043594 -24.092268 0.967 0.41 0
130 64.040878 -24.09207 2.30415 1.173 0
131 64.04895 -24.092293 2.19665 0.064 0
132 64.041573 -24.092297 5.029999 0.083 0
133 64.049637 -24.092287 3.493 1.5894 0
134 64.043762 -24.092133 0.139 0.4335 0
135 64.044502 -24.091932 1.267 0.0365 0
136 64.047791 -24.091925 1.4715 0.00615 0
137 64.041039 -24.092203 2.93 0.07985 0
138 64.048988 -24.092167 0.01 0.02 0
139 64.039261 -24.091812 6.69505 1.179 0
140 64.04557 -24.091825 1.4865 0.0273 0
141 64.039024 -24.092119 6.67505 0.994 0
142 64.036697 -24.09049 1.8275 0.02715 0
143 64.039268 -24.09197 6.54675 1.00405 0
144 64.04496 -24.091661 0.2 0.5459 0
145 64.037888 -24.090839 4.673999 0.031 0
146 64.037071 -24.090017 0.2385 0.02625 0
147 64.046486 -24.091782 0.78465 0.0495 0
148 64.043823 -24.090986 1.32015 0.109 0
149 64.041344 -24.091772 2.898 0.172 0
150 64.025101 -24.091297 3.361 1.87 0
151 64.050186 -24.091545 1.0795 0.08495 0
152 64.046394 -24.091555 3.24 1.4935 0
153 64.04982 -24.09153 3.0135 0.0922 0
154 64.047379 -24.091494 1.83 0.0403 0
155 64.050438 -24.091475 0.083 0.1765 0
156 64.042076 -24.091261 3.2105 0.0426 0
157 64.034836 -24.09087 0.3355 0.035 0
158 64.046196 -24.091337 8.268353 0.095 0
159 64.03215 -24.09133 3.9594 0.2405 0
160 64.040932 -24.091311 2.8795 0.69275 0
161 64.050194 -24.091228 0.066 0.0115 0
162 64.051132 -24.090319 0.9585 0.065 0
163 64.047752 -24.091221 0.6516 0.021 0
164 64.03672 -24.089571 1.4976 2.2355 0
165 64.033455 -24.091131 4.785 0.019001 0
166 64.047241 -24.091043 1.435 0.048 0
167 64.033623 -24.091127 4.7225 0.02755 0
168 64.021156 -24.089567 0.3305 0.015 0
169 64.037659 -24.090704 1.6038 0.013 0
170 64.041031 -24.091085 3.03645 0.185 0
171 64.034119 -24.091135 4.705 0.0389 0
172 64.03936 -24.090582 1.9985 2.0255 0
173 64.05088 -24.090969 0.46 0.345 0
174 64.041931 -24.090912 1.9261 0.089 0
175 64.047821 -24.090933 1.918 0.0245 0
176 64.038368 -24.090996 0.6909 0.007 0
177 64.046394 -24.090759 2.699999 0.097 0
178 64.048889 -24.09075 0.01 0.02 0
179 64.048767 -24.090771 0.3825 0.1555 0
180 64.042038 -24.08614 0.0665 0.0275 0
181 64.02845 -24.089098 0.4225 0.04 0
182 64.049103 -24.090715 0.925 1.8055 0
183 64.046249 -24.090242 3.55075 0.171 0
184 64.027649 -24.090691 4.92 0.631 0
185 64.024002 -24.090622 3.8385 2.5269 0
186 64.04657 -24.090637 2.722 0.27 0
187 64.035591 -24.090527 1.71 0.081 0
188 64.05056 -24.090696 0.01 0.02 0
189 64.035828 -24.090477 1.6124 0.674 0
190 64.0242 -24.090445 9.946496 3.677 0
191 64.053558 -24.084539 0.4895 3.36455 0
192 64.025658 -24.090319 0.4575 0.067 0
193 64.044945 -24.090523 0.53725 0.214 0
194 64.049026 -24.0903 2.221 0.04 0
195 64.039192 -24.090258 4.4485 0.2935 0
196 64.050697 -24.090534 0.01 0.02 0
197 64.034058 -24.090242 4.314002 0.2185 0
198 64.029907 -24.090258 2.36075 0.1145 0
199 64.024017 -24.088318 0.01 0.02 0
200 64.038994 -24.090252 4.319 0.456 0
201 64.037766 -24.090197 5.7002 2.4535 0
202 64.045677 -24.090189 2.26285 0.045 0
203 64.048256 -24.090145 2.696 0.05915 0
204 64.034409 -24.090065 4.38 0.381 0
205 64.024796 -24.090025 0.596 0.273 0
206 64.03363 -24.090012 0.44 0.1125 0
